date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:26:09%20GMT	http://unicaevents.ancorathemes.com/?p=1383	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/index59cd.html	(from http://unicaevents.ancorathemes.com/services-page/)
17:54:56	2246/2246	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:26:09%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fservices-page%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed5902.json	(from http://unicaevents.ancorathemes.com/services-page/)
17:54:57	2343/2343	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:26:10%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fservices-page%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embeda735	(from http://unicaevents.ancorathemes.com/services-page/)
17:54:58	2256/2256	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:26:11%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fgrid-gallery%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed9994.json	(from http://unicaevents.ancorathemes.com/grid-gallery/)
17:54:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:26:11%20GMT	http://unicaevents.ancorathemes.com/?p=891	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/indexb541.html	(from http://unicaevents.ancorathemes.com/grid-gallery/)
17:54:59	2353/2353	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:26:12%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fgrid-gallery%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed8620	(from http://unicaevents.ancorathemes.com/grid-gallery/)
17:56:49	1739771/1739771	---M--	200	added ('OK')	image/jpeg	etag:%22565c9294-1a8bfb%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/10/Depositphotos_48484057_original.jpg	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/10/Depositphotos_48484057_original.jpg	(from http://unicaevents.ancorathemes.com/shortcodes/)
17:56:51	78698/78698	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:28:04%20GMT	http://unicaevents.ancorathemes.com/gallery-post-3/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/gallery-post-3/index.html	(from http://unicaevents.ancorathemes.com/grid-gallery/)
17:56:55	78814/78814	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:28:06%20GMT	http://unicaevents.ancorathemes.com/gallery-post-2/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/gallery-post-2/index.html	(from http://unicaevents.ancorathemes.com/grid-gallery/)
17:56:56	78806/78806	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:28:09%20GMT	http://unicaevents.ancorathemes.com/gallery-post-1/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/gallery-post-1/index.html	(from http://unicaevents.ancorathemes.com/grid-gallery/)
17:56:57	2271/2271	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:28:10%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fmasonry-gallery%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embedf3ac.json	(from http://unicaevents.ancorathemes.com/masonry-gallery/)
17:56:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:28:12%20GMT	http://unicaevents.ancorathemes.com/?p=893	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/index0d49.html	(from http://unicaevents.ancorathemes.com/masonry-gallery/)
